nsim,Total Unique Elements Sampled
40001,20768.0
40101,20781.75
40201,20837.0
40301,20852.75
40401,20898.5
40501,20920.5
40601,20928.5
40701,20957.75
40801,21003.0
40901,20986.25
41001,21023.25
41101,21026.0
41201,21047.25
41301,21074.75
41401,21133.0
41501,21100.0
41601,21175.5
41701,21176.25
41801,21182.75
41901,21238.0
42001,21192.75
42101,21264.5
42201,21257.25
42301,21273.25
42401,21289.75
42501,21337.25
42601,21339.5
42701,21355.75
42801,21416.0
42901,21388.5
43001,21417.25
43101,21476.5
43201,21480.5
43301,21481.25
43401,21498.5
43501,21535.5
43601,21552.75
43701,21566.25
43801,21624.5
43901,21542.5
44001,21600.25
44101,21622.75
44201,21670.25
44301,21702.25
44401,21666.75
44501,21732.5
44601,21724.75
44701,21743.5
44801,21790.0
44901,21799.25
45001,21848.5
45101,21856.5
45201,21864.75
45301,21854.0
45401,21868.0
45501,21895.25
45601,21976.5
45701,21957.5
45801,21952.5
45901,21948.25
46001,22073.75
46101,22035.25
46201,22070.5
46301,22051.25
46401,22075.25
46501,22091.75
46601,22092.0
46701,22154.0
46801,22145.75
46901,22138.25
47001,22142.25
47101,22231.0
47201,22207.75
47301,22221.75
47401,22260.25
47501,22236.75
47601,22302.5
47701,22296.5
47801,22342.0
47901,22303.75
48001,22322.5
48101,22367.5
48201,22392.5
48301,22378.25
48401,22434.75
48501,22395.0
48601,22464.25
48701,22462.5
48801,22480.75
48901,22494.25
49001,22481.5
49101,22568.0
49201,22539.75
49301,22559.0
49401,22556.0
49501,22567.25
49601,22628.0
49701,22638.75
49801,22647.75
49901,22653.5
50001,22688.0
50101,22690.75
50201,22744.25
50301,22716.0
50401,22693.0
50501,22702.0
50601,22762.25
50701,22764.0
50801,22770.5
50901,22835.25
51001,22805.5
51101,22835.75
51201,22864.75
51301,22849.0
51401,22873.0
51501,22906.25
51601,22948.75
51701,22913.25
51801,22941.5
51901,22928.0
52001,22971.5
52101,23012.0
52201,22994.0
52301,22997.75
52401,23035.5
52501,23074.25
52601,23040.75
52701,23018.25
52801,23102.0
52901,23060.25
53001,23125.75
53101,23175.75
53201,23121.75
53301,23188.25
53401,23172.75
53501,23201.0
53601,23148.25
53701,23157.25
53801,23200.25
53901,23218.0
54001,23289.0
54101,23262.0
54201,23250.0
54301,23311.75
54401,23313.0
54501,23337.75
54601,23313.75
54701,23321.5
54801,23334.25
54901,23362.5
55001,23376.25
55101,23380.75
55201,23424.75
55301,23379.75
55401,23411.0
55501,23461.0
55601,23499.0
55701,23468.5
55801,23484.5
55901,23471.0
56001,23532.5
56101,23488.0
56201,23530.0
56301,23536.0
56401,23568.0
56501,23574.5
56601,23562.5
56701,23576.25
56801,23619.25
56901,23643.5
57001,23659.75
57101,23615.0
57201,23608.5
57301,23640.25
57401,23651.25
57501,23741.25
57601,23697.25
57701,23728.5
57801,23696.5
57901,23732.0
58001,23762.0
58101,23712.25
58201,23818.25
58301,23822.75
58401,23804.25
58501,23762.5
58601,23800.25
58701,23799.75
58801,23849.0
58901,23841.0
59001,23881.75
59101,23832.75
59201,23877.75
59301,23882.5
59401,23891.75
59501,23922.75
59601,23921.75
59701,23934.5
59801,23965.75
59901,23929.75
60001,24013.0
60101,23978.0
60201,23980.75
60301,24004.0
60401,24022.75
60501,24027.5
60601,24047.0
60701,24031.25
60801,24010.75
60901,24046.0
61001,24051.0
61101,24112.0
61201,24101.0
61301,24090.25
61401,24097.25
61501,24107.5
61601,24122.25
61701,24138.25
61801,24124.75
61901,24158.25
62001,24174.0
62101,24179.25
62201,24228.5
62301,24171.0
62401,24226.75
62501,24227.5
62601,24240.25
62701,24245.25
62801,24204.75
62901,24286.0
63001,24302.25
63101,24267.25
63201,24302.75
63301,24294.25
63401,24311.5
63501,24334.0
63601,24336.25
63701,24339.5
63801,24318.5
63901,24385.25
64001,24364.25
64101,24359.5
64201,24383.75
64301,24346.75
64401,24378.75
64501,24421.0
64601,24397.0
64701,24401.25
64801,24441.0
64901,24463.5
65001,24446.0
65101,24484.75
65201,24458.5
65301,24473.5
65401,24513.0
65501,24517.5
65601,24529.0
65701,24512.0
65801,24544.0
65901,24514.5
66001,24537.75
66101,24578.25
66201,24518.25
66301,24557.0
66401,24540.75
66501,24574.0
66601,24600.5
66701,24607.75
66801,24607.5
66901,24606.0
67001,24644.25
67101,24636.5
67201,24606.5
67301,24614.0
67401,24697.5
67501,24672.25
67601,24685.5
67701,24692.5
67801,24719.25
67901,24673.75
68001,24715.0
68101,24720.0
68201,24702.5
68301,24712.0
68401,24758.75
68501,24728.5
68601,24737.75
68701,24743.25
68801,24799.0
68901,24774.0
69001,24776.75
69101,24761.0
69201,24816.25
69301,24802.0
69401,24775.0
69501,24804.75
69601,24868.75
69701,24845.25
69801,24801.5
69901,24846.25
70001,24879.75
70101,24878.5
70201,24875.5
70301,24857.0
70401,24878.75
70501,24900.75
70601,24893.75
70701,24897.25
70801,24919.25
70901,24917.75
71001,24927.25
71101,24948.0
71201,24947.75
71301,24944.75
71401,24972.0
71501,24960.0
71601,24988.75
71701,24962.25
71801,24993.5
71901,25001.0
72001,25021.0
72101,24962.75
72201,25010.25
72301,25011.25
72401,25045.0
72501,25028.0
72601,25047.5
72701,25040.75
72801,25048.5
72901,25057.75
73001,25052.25
73101,25053.25
73201,25054.75
73301,25088.25
73401,25071.0
73501,25077.5
73601,25132.0
73701,25137.0
73801,25123.5
73901,25116.5
74001,25130.25
74101,25139.75
74201,25138.5
74301,25128.0
74401,25162.0
74501,25156.75
74601,25173.5
74701,25206.5
74801,25164.0
74901,25167.0
75001,25199.25
75101,25201.5
75201,25218.5
75301,25230.25
75401,25200.75
75501,25201.5
75601,25251.25
75701,25221.5
75801,25242.0
75901,25255.5
76001,25256.75
76101,25231.75
76201,25278.5
76301,25239.25
76401,25299.75
76501,25296.0
76601,25308.0
76701,25287.5
76801,25326.75
76901,25316.5
77001,25319.5
77101,25321.5
77201,25292.5
77301,25349.0
77401,25348.0
77501,25331.5
77601,25347.0
77701,25378.5
77801,25354.0
77901,25378.25
78001,25368.5
78101,25384.75
78201,25376.0
78301,25395.5
78401,25385.75
78501,25384.5
78601,25428.75
78701,25410.25
78801,25401.25
78901,25410.0
79001,25387.75
79101,25438.0
79201,25410.0
79301,25442.25
79401,25459.25
79501,25461.0
79601,25433.75
79701,25457.5
79801,25456.25
79901,25470.5
80001,25461.0
80101,25445.25
80201,25504.0
80301,25498.5
80401,25441.5
80501,25485.75
80601,25498.75
80701,25524.5
80801,25501.25
80901,25497.25
